start,end,description,title,link,image
1858,1943,Presidente de Chile,Luis Barros Borgoño,http://es.wikipedia.org/wiki/Luis_Barros_Borgo%C3%B1o,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Luis_Barros_Borgo%C3%B1o_Vicepresidente.jpg/225px-Luis_Barros_Borgo%C3%B1o_Vicepresidente.jpg
1868,1941,Presidente de Chile,Emilio Bello,http://es.wikipedia.org/wiki/Emilio_Bello_Codecido,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Emilio_Bello.jpg/160px-Emilio_Bello.jpg
1876,1938,Presidente de Chile,Luis Altamirano,http://es.wikipedia.org/wiki/Luis_Altamirano_Talavera,//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Luis_Altamirano.jpg/180px-Luis_Altamirano.jpg
1879,1948,Presidente de la República de Chile,Juan Esteban Montero Rodríguez,http://es.wikipedia.org/wiki/Juan_Esteban_Montero_Rodr%C3%ADguez,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Juan_Esteban_Montero_1932_cropped.jpg/225px-Juan_Esteban_Montero_1932_cropped.jpg
1877,1960,Presidente de Chile,Carlos Ibáñez del Campo,http://es.wikipedia.org/wiki/Carlos_Ib%C3%A1%C3%B1ez_del_Campo,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Firma_Carlos_Iba%C3%B1ez_del_Campo.svg/128px-Firma_Carlos_Iba%C3%B1ez_del_Campo.svg.png
1868,1950,Presidente de Chile,Arturo Alessandri Palma,http://es.wikipedia.org/wiki/Arturo_Alessandri_Palma,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Firma_Alessandri_Palma.png/128px-Firma_Alessandri_Palma.png
1866,1931,Presidente de Chile,Emiliano Figueroa Larraín,http://es.wikipedia.org/wiki/Emiliano_Figueroa_Larra%C3%ADn,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Pdte.Emiliano_Figueroa.JPG/225px-Pdte.Emiliano_Figueroa.JPG
1845,1910,Presidente de Chile,Elías Fernández,http://es.wikipedia.org/wiki/El%C3%ADas_Fern%C3%A1ndez_Albano,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/El%C3%ADas_Fernandez_Albano_cropped.jpg/225px-El%C3%ADas_Fernandez_Albano_cropped.jpg
1835,1919,Presidente de la República de Chile,Ramón Barros Luco,http://es.wikipedia.org/wiki/Ram%C3%B3n_Barros_Luco,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Firma_de_Ram%C3%B3n_Barros_Luco.png/128px-Firma_de_Ram%C3%B3n_Barros_Luco.png
1858,1930,Presidente de Chile,Juan Luis Sanfuentes,http://es.wikipedia.org/wiki/Juan_Luis_Sanfuentes_Andonaegui,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Firma_Juan_Luis_Sanfuentes.svg/128px-Firma_Juan_Luis_Sanfuentes.svg.png
1849,1910,Presidente de la República de Chile,Pedro Montt Montt,http://es.wikipedia.org/wiki/Pedro_Montt_Montt,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Firma_Pedro_Montt.svg/128px-Firma_Pedro_Montt.svg.png
1854,1916,Presidente de Chile,Germán Riesco Errázuriz,http://es.wikipedia.org/wiki/Germ%C3%A1n_Riesco_Err%C3%A1zuriz,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Riesco2.svg/128px-Riesco2.svg.png
1850,1901,Presidente de la República de Chile,Federico Errázuriz Echaurren,http://es.wikipedia.org/wiki/Federico_Err%C3%A1zuriz_Echaurren,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Federico_Err%C3%A1zuriz_Echaurren_asume_como_parlamentario-2.jpg/225px-Federico_Err%C3%A1zuriz_Echaurren_asume_como_parlamentario-2.jpg
1777,1841,Presidente de Chile,Fernando Errázuriz,http://es.wikipedia.org/wiki/Fernando_Err%C3%A1zuriz_Aldunate,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Bandera_de_Espa%C3%B1a_1760-1785.svg/20px-Bandera_de_Espa%C3%B1a_1760-1785.svg.png
1790,1860,Presidente de Chile,,http://es.wikipedia.org/wiki/Francisco_Ruiz-Tagle_Portales,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Firma_Francisco_Ruiz-Tagle.png/128px-Firma_Francisco_Ruiz-Tagle.png
1845,1922,Presidente de la República de Chile,Jorge Montt Álvarez,http://es.wikipedia.org/wiki/Jorge_Montt_%C3%81lvarez,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Firma_Jorge_Montt.png/128px-Firma_Jorge_Montt.png
1775,1849,Presidente de Chile,Francisco Ramón Vicuña,http://es.wikipedia.org/wiki/Francisco_Ram%C3%B3n_Vicu%C3%B1a,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Francisco_Ramon_Vicu%C3%B1a.jpg/225px-Francisco_Ramon_Vicu%C3%B1a.jpg
1787,1831,Presidente de Chile,José Tomás Ovalle Bezanilla,http://es.wikipedia.org/wiki/Jos%C3%A9_Tom%C3%A1s_Ovalle_Bezanilla,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Firma_de_Jos%C3%A9_Tom%C3%A1s_Ovalle.png/128px-Firma_de_Jos%C3%A9_Tom%C3%A1s_Ovalle.png
